Description,TotalSalesDollars,ProfitMargin
Blood Orange Liqueur,3086.369999999995,87.06085142092489
Bloom Gin,3408.449999999991,83.99595123883286
Blue Chair Bay Banana Rum,12619.909999999863,74.22479463189391
Blue Chair Bay CocSpc Cream,1987.8300000000008,78.46093478818614
Blue Chair Bay Coconut Rum,3057.119999999958,99.74812895797352
Bluebird Chardonnay,215.76,32.48053392658509
Boca Loca Cachaca,8308.059999999972,35.62299742659517
Bocelli Sangiovese,863.52,66.20344635908839
Bodega Elena de Mendoza Mlbc,1495.860000000001,97.77251881860603
Bodega Garzon Albarino,179.88,35.090060040026685
Bolla Chianti,119.88,31.03103103103102
Bolla Prosecco 3pk/187mls,1079.2800000000004,92.33563116151508
Bolla Torr'Alta Veronese Ros,3399.21,64.48586583353192
Bolla Valpo Ripasso Cls Sup,719.4599999999999,45.73430072554416
Bollinger Brut Grande Annee,3827.71,62.46737605513479
Bols Amaretto Liqueur,2029.4600000000016,16.058951642308873
Bols Genever Amsterdam,131.96,0.00757805395575881
Bols Melon Liqueur,549.4500000000002,13.633633633633666
Bols Peach Schnapps,4825.729999999959,22.745975122898805
Bongiovanni Dolceo D'Alba,492.71000000000004,72.04034827789167
Bonnie Rose Orange Peel,4270.169999999987,22.85084668760238
Bonnie Rose Spiced Apple,4080.309999999987,28.93138021375804
Bonny Doon Clos de Gilroy Rd,519.6,21.016166281755204
Bonpas Ch du Pape Rouge Rsv,3472.1899999999982,29.20375901088359
Bonterra Pnt Nr,611.64,5.944673337257213
Booth's Cask Mellowed Gin,2111.5199999999995,57.70061377585813
Bootstrap Red,18369.009999999922,27.459781447121784
Botromagno Gravina,89.88,30.97463284379172
Bouvier Marsannay Rose,519.8,60.77722200846479
Bouvier Morey St Denis Rue d,1567.68,97.91666666666666
Bowen's American Whiskey,7207.309999999969,35.37672168950663
Bowman's Light Vodka,484.03000000000014,69.10935272607071
Bowmore Legend Single Malt,242.91,51.64464204849533
Bowmore Mizurana,4999.95,55.2239522395224
Boya Svgn Bl,2574.1599999999967,6.361686919227878
Brancott Estate 'B' Svgn Bl,31.47,35.08102955195424
Brandborg Benchlands Pnt Nr,24.99,32.41296518607442
Bregeon Muscadet Sevre et M,1061.4600000000003,42.388785258040826
Brenne French Sng Mlt Whisky,1343.68,73.5576923076923
Bridlewood Slct Pnt Nr Lucia,6427.979999999991,81.35028422614877
Brinley Gold Shipwreck,119.94,23.661830915457728
Brittan Vyds Chard Wlmete Vy,1504.65,55.59432426145615
Broadbent Auction RSV,3146.5399999999895,19.559261919441393
Broadside Cab Svgn Paso Rob,344.52000000000004,59.17798676419367
Brownstone Merlot Cal,431.52,14.905450500556173
Brugal XV Rum,3773.4899999999902,59.447885114310516
Bruichladdich Octomore 61,4949.549999999995,88.03386166419169
Bruichladdich Rocks Sngl Mlt,999.8000000000001,78.41968393678735
Buehler Cab Svgn Napa,33610.410000000214,17.527694544637253
Buehler Estate Cab Svgn Napa,5048.439999999991,93.82878671431173
Buglioni L'Amarone,3849.2999999999965,20.107552022445574
Buil & Gine Montsant 17X1,2326.139999999998,82.9571736868804
Bully Hill NY Rsl,311.76,66.20477290223248
Burnetts Peach Vodka,22027.95000000018,18.285904952571975
Burnetts Pineapple Vodka,22677.300000000196,27.48951594766614
Bushmills Black Bush,850.7700000000001,40.14833621307757
Bushmills Irish Honey,12833.889999999908,88.20326494928653
Byrrh Apertif,621.62,46.76812200379652
C Y Toro Carmenere Terrunyo,197.91000000000003,92.68859582638574
C Y Toro Casillero Pnt Nr,5356.74999999997,4.610071405235796
C Y Toro Frontera Merlot,14813.309999999808,11.229023088019435
Ca'Momi Bianco di Napa,1989.5999999999963,31.885806192199297
Cabin Fever Maple Liqueur,9056.219999999688,26.36177124672067
Cabot Trail Maple Whisky,11386.969999999956,51.89659760234706
Cabreo Il Borgo Toscana,359.92,51.30584574349856
Cabreo La Pietra White,318.89000000000004,52.78622722568912
Caffo Amaretto Liqueur,8418.429999999942,72.135303138471
Caffo Limoncino Dell'l Sola,8838.489999999947,76.81391278374461
Caffo Sambuca Secolare,9999.82999999993,72.46853196504323
Caffo Vecchio Amaro del Capo,2924.6699999999946,71.03673234929065
Cakebread Benchland Cab Svgn,3799.619999999997,42.31844237055281
Cakebread Dancing Bear Cab S,3334.7099999999996,66.19196271939688
Cakebread Vine Hill Cab,899.91,9.910991099109905
Calaches Lanessan Haut-Medoc,683.6400000000001,65.98209583991574
Calandray RSV Cotes Roussiln,215.88,35.07504168982768
Calera de Villiers Pnt Nr,473.91,92.82353189424153
Calico Jack Cherry Rum,203.88,28.54620364920541
Calico Jack Mango Rum,15547.709999999825,61.51433233575836
Calico Jack Pin/Coc Rum,1670.2700000000016,89.4029109066199
Calmel & Joseph Chard,1943.6900000000012,42.77945557161896
Calumet Farm Bourbon VAP,4980.899999999995,64.35282780220439
Cambas Nemea RSV Attica Rd,359.76,83.77251501000667
Cambridge Chard Carneros,1405.2200000000005,80.64929334908413
Cambrige Meritage Napa Vly,413.8200000000001,90.27113237639554
Cameron Hughes Cam Col Cab S,7736.469999999952,59.2186100379111
Cameron Hughes Cam Coll Char,265.81,59.008314209397696
Camila Malbec,234.96,66.24106230847804
Camp Meeting Ridge Pnt Nr,92.99,31.035595225293044
Camus Elegance XO,2599.7999999999993,92.36633587199015
Canada House Canadian Whisky,20779.530000000093,41.929629784697156
Canadian Mist Traveler,19733.690000000053,34.82374558432815
Canaletto Pnt Grigio Venezie,223.77,69.67421906421774
Cantele Chard Salento,350.73,52.1597810281413
Cantele Primitivo Salento,629.5500000000001,27.4148201096021
Cantina Gabriele Dolc White,325.19000000000005,74.0213413696608
Cantine Cantena Taurasi,329.89,24.77492497499166
Caprai Montefalco Passito 06,2687.159999999999,74.26576757617707
Capt Morgan Black Spiced Rum,415.84000000000003,58.640342439399774
Capt Morgan Cannon Blast,890.0100000000028,73.22277277783404
Capt Morgan Lime Bite Rum,730.1100000000001,37.49322154814355
Capt Morgan ParrotBay Pineap,917.1600000000002,72.59505619462132
Capt Morgan Spiced Rum 100,141.17999999999998,75.37894885961184
Capt Morgan White Coconut,1154.3400000000029,78.24557755947127
Capt Morgan White Grapefruit,1886.9400000000082,79.92940952017561
Capt Morgan White Pineapple,494.0100000000011,77.4356794396875
Caravan Cab Svgn,2949.409999999999,0.9496814617160336
Carlo Rossi Blush Calif,2638.239999999999,3.202892837649292
Carlo Rossi RSV Chard Cal,191.76,14.424280350438046
Carmel Road Pnt Gris,111.48,31.001076426264802
Carpineto Brunello Montalci,3866.3199999999965,5.717581576279162
Carpineto Cab Svgn Farnito,1924.3300000000004,15.077975191365331
Carpineto Dogajolo Tuscan R,34319.8000000003,32.934923863193184
Carpineto Dogajolo Tuscan Rd,107421.05000000169,14.479052290032024
Carpineto Dogajolo Tuscan Wh,32229.890000000483,35.3280448676687
Casa E Mirafiori Barb d'Alba,681.75,71.25632563256326
Casa Liliana Good Chard,406.63000000000005,93.36005705432457
Casa Liliana Good Merlot,153.86,83.1275185233329
Casa Noble Repsdo La Carreta,695.88,25.366442490084495
Casa Silva Carmenere,11097.05999999994,58.73501630161479
Casa Silva Los Lingues Cab S,5532.539999999984,33.49889923977031
Cashmore Black Opal Shiraz,8336.509999999935,11.561552736096347
